Year,State,Number_of_Malaria_incidences,Rainfall_in_mm,Per_capita_income,Population,Category_deaths,Mortality_rate,rate
2013,Karnataka,13302,5878.7,118829,61130704,Low,0,Zero
2013,Kerala,1634,3255.5,123388,33387687,Low,0,Zero
2013,Manipur,120,389.275,47852,2721756,Low,0,Zero
2013,Punjab,1760,586.6,103831,27704236,Low,0,Zero
2013,Sikkim,39,2406.1,194624,607688,Low,0,Zero
2013,Tamil Nadu,15081,742,116329,72138958,Low,0,Zero
2013,Uttarakhand,1426,1735.3,126247,10116752,Low,0,Zero
2013,Uttar Pradesh,48346,1967.9,40124,207281477,Low,0,Zero
2013,A.N.Islands,1005,3757.7,106413,379944,Low,0,Zero
2013,Chandigarh,150,461.3,199129,1055450,Low,0,Zero
2013,Delhi,353,461.3,229619,18980000,Low,0,Zero
2013,Puducherry,127,1520.2,148147,1244644,Low,0,Zero
2014,Kerala,1751,3046.6,112444,33387687,High,3.427,Extremely high
2014,Tripura,51240,399,58033,3671032,High,1.874,Very High
2014,Meghalaya,39168,2171.9,55936,2964007,High,1.864,Very High
2014,Arunachal Pradesh,6082,2403.1,88110,1382611,High,1.48,Very High
2014,Mizoram,23145,399,85056,1091014,High,1.339,Very High
2014,Maharashtra,53385,838,113629,112372972,High,1.274,Very High
2014,Nagaland,1936,399,60372,1980602,Medium,1.033,Very High
2014,Assam,14540,2171.9,44809,31169272,High,0.757,High
2014,Chhattisgarh,128993,1274.8,64841,25540196,High,0.411,High
2014,Gujarat,41608,792.3,111370,60383628,High,0.385,High
2014,Madhya Pradesh,96879,1789.9,44357,72597565,High,0.268,High
2014,Rajasthan,15118,985.4,64522,68621012,Medium,0.265,High
2014,Orissa,395035,1537,54211,41947358,High,0.225,Medium
2014,Haryana,4485,305.5,124302,25535081,Medium,0.223,Medium
2014,Karnataka,14794,5504.7,106245,61130704,Medium,0.135,Very Low
2014,Jharkhand,103735,1156.6,48781,32966328,High,0.077,Very Low
2014,Andhra Pradesh,21220,777.5,78039,49386799,Low,0,Zero
2014,Bihar,2043,1061,23223,103804647,Low,0,Zero
2014,Goa,824,2913.3,241081,1457723,Low,0,Zero
2014,Himachal Pradesh,102,1019.9,105146,6864602,Low,0,Zero
2014,Jammu & Kashmir,291,1278.6,52576,12548926,Low,0,Zero
2014,Manipur,145,399,44101,2721756,Low,0,Zero
2014,Punjab,1036,382.9,95807,27704236,Low,0,Zero
2014,Sikkim,35,2322.5,180675,607688,Low,0,Zero
2014,Tamil Nadu,8729,913,106186,72138958,Low,0,Zero
2014,Uttarakhand,1171,1287.5,118788,10116752,Low,0,Zero
2014,Uttar Pradesh,41612,1188,34583,207281477,Low,0,Zero
2014,A.N.Islands,557,2622.5,100760,379944,Low,0,Zero
